CompanyA
Depot: A1, Transaction Type: Buy, Client: C9, Product: Product C, Total: 6

Depot: A1, Transaction Type: Sell, Client: C33, Product: Product A, Total: 10

Depot: A1, Transaction Type: Buy, Client: B30, Product: Product B, Total: 7

Depot: A1, Transaction Type: Buy, Client: C30, Product: Product C, Total: 18

Depot: A1, Transaction Type: Sell, Client: B5, Product: Product A, Total: 10

Depot: A1, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A1, Transaction Type: Sell, Client: C1, Product: Product A, Total: 10

Depot: A1, Transaction Type: Buy, Client: C6, Product: Product C, Total: 13

Depot: A1, Transaction Type: Sell, Client: C11, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: B5, Product: Product A, Total: 10

Depot: A1, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: A1, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: A1, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: A1, Transaction Type: Sell, Client: B7, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: B2, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: B12, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: B19, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: C14, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: C7, Product: Product A, Total: 10

Depot: A1, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A1, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

Depot: A1, Transaction Type: Buy, Client: C2, Product: Product C, Total: 9

Depot: A1, Transaction Type: Buy, Client: B14, Product: Product B, Total: 9

Depot: A1, Transaction Type: Sell, Client: C14, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: C1, Product: Product A, Total: 10

Depot: A1, Transaction Type: Sell, Client: C3, Product: Product A, Total: 10

Depot: A2, Transaction Type: Buy, Client: C38, Product: Product C, Total: 11

Depot: A2, Transaction Type: Sell, Client: C9, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: B3, Product: Product A, Total: 4

Depot: A2, Transaction Type: Buy, Client: C28, Product: Product C, Total: 15

Depot: A2, Transaction Type: Sell, Client: C6, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: B13, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: C20, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: C17, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: B13, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: B8, Product: Product A, Total: 4

Depot: A2, Transaction Type: Sell, Client: C7, Product: Product A, Total: 4

Depot: A3, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: A3, Transaction Type: Buy, Client: B34, Product: Product B, Total: 15

Depot: A3, Transaction Type: Sell, Client: C14, Product: Product A, Total: 14

Depot: A3, Transaction Type: Buy, Client: B29, Product: Product B, Total: 13

Depot: A3, Transaction Type: Sell, Client: C34, Product: Product A, Total: 14

Depot: A3, Transaction Type: Buy, Client: C6, Product: Product C, Total: 13

Depot: A3, Transaction Type: Buy, Client: C2, Product: Product C, Total: 9

Depot: A3, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: A3, Transaction Type: Buy, Client: B30, Product: Product B, Total: 7

Depot: A3, Transaction Type: Sell, Client: C19, Product: Product A, Total: 14

Depot: A3, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: A3, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: A3, Transaction Type: Sell, Client: C14, Product: Product A, Total: 14

Depot: A3, Transaction Type: Buy, Client: C25, Product: Product C, Total: 12

Depot: A3, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: A3, Transaction Type: Buy, Client: B11, Product: Product B, Total: 14

