CompanyB
Depot: B1, Transaction Type: Sell, Client: A45, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: C32, Product: Product C, Total: 5

Depot: B1, Transaction Type: Buy, Client: A30, Product: Product A, Total: 6

Depot: B1, Transaction Type: Sell, Client: A10, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: A20, Product: Product A, Total: 12

Depot: B1, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B1, Transaction Type: Sell, Client: A27, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: C32, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: C24, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: C36, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: A34, Product: Product A, Total: 11

Depot: B1, Transaction Type: Sell, Client: A34, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: C2, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: C2, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: B1, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B1, Transaction Type: Sell, Client: C17, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: A10, Product: Product A, Total: 6

Depot: B1, Transaction Type: Sell, Client: A5, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: C21, Product: Product C, Total: 12

Depot: B1, Transaction Type: Buy, Client: C22, Product: Product C, Total: 7

Depot: B1, Transaction Type: Sell, Client: A13, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: C7, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: B1, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: B1, Transaction Type: Buy, Client: C20, Product: Product C, Total: 4

Depot: B1, Transaction Type: Sell, Client: A11, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: B1, Transaction Type: Sell, Client: A8, Product: Product B, Total: 5

Depot: B1, Transaction Type: Sell, Client: A7, Product: Product B, Total: 5

Depot: B1, Transaction Type: Buy, Client: C16, Product: Product C, Total: 7

Depot: B1, Transaction Type: Buy, Client: C16, Product: Product C, Total: 7

Depot: B2, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: B2, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B2, Transaction Type: Sell, Client: A31, Product: Product B, Total: 16

Depot: B2, Transaction Type: Sell, Client: A31, Product: Product B, Total: 16

Depot: B2, Transaction Type: Buy, Client: C39, Product: Product C, Total: 13

Depot: B2, Transaction Type: Buy, Client: A14, Product: Product A, Total: 18

Depot: B2, Transaction Type: Sell, Client: A25, Product: Product B, Total: 16

Depot: B2, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: B2, Transaction Type: Sell, Client: C18, Product: Product B, Total: 16

Depot: B2, Transaction Type: Sell, Client: C18, Product: Product B, Total: 16

Depot: B2, Transaction Type: Sell, Client: C11, Product: Product B, Total: 16

Depot: B2, Transaction Type: Buy, Client: C4, Product: Product C, Total: 2

Depot: B2, Transaction Type: Sell, Client: A24, Product: Product B, Total: 16

Depot: B2, Transaction Type: Sell, Client: C22, Product: Product B, Total: 16

Depot: B2, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: B2, Transaction Type: Sell, Client: C22, Product: Product B, Total: 16

Depot: B2, Transaction Type: Buy, Client: C10, Product: Product C, Total: 17

Depot: B2, Transaction Type: Sell, Client: A19, Product: Product B, Total: 16

Depot: B2, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: B2, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: B2, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: B2, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: B2, Transaction Type: Sell, Client: A17, Product: Product B, Total: 16

Depot: B2, Transaction Type: Sell, Client: C3, Product: Product B, Total: 16

Depot: B3, Transaction Type: Buy, Client: A2, Product: Product A, Total: 4

Depot: B3, Transaction Type: Buy, Client: C27, Product: Product C, Total: 13

Depot: B3, Transaction Type: Buy, Client: A21, Product: Product A, Total: 6

Depot: B3, Transaction Type: Sell, Client: A9, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: A8, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: A31, Product: Product A, Total: 10

Depot: B3, Transaction Type: Sell, Client: A15, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: A9, Product: Product A, Total: 10

Depot: B3, Transaction Type: Sell, Client: A21, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: B3, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: B3, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: B3, Transaction Type: Sell, Client: A19, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: C2, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: B3, Transaction Type: Sell, Client: C11, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B3, Transaction Type: Sell, Client: C12, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: A8, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: C2, Product: Product C, Total: 9

Depot: B3, Transaction Type: Sell, Client: C12, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: A4, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: A8, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: A21, Product: Product B, Total: 15

Depot: B3, Transaction Type: Buy, Client: C13, Product: Product C, Total: 15

Depot: B3, Transaction Type: Sell, Client: A14, Product: Product B, Total: 15

Depot: B3, Transaction Type: Sell, Client: C7, Product: Product B, Total: 15

Depot: B4, Transaction Type: Buy, Client: C19, Product: Product C, Total: 8

Depot: B4, Transaction Type: Sell, Client: A17, Product: Product B, Total: 9

Depot: B4, Transaction Type: Buy, Client: C35, Product: Product C, Total: 13

Depot: B4, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: B4, Transaction Type: Sell, Client: C36, Product: Product B, Total: 9

Depot: B4, Transaction Type: Sell, Client: A15, Product: Product B, Total: 9

Depot: B4, Transaction Type: Sell, Client: A10, Product: Product B, Total: 9

Depot: B4, Transaction Type: Buy, Client: A13, Product: Product A, Total: 8

Depot: B5, Transaction Type: Sell, Client: C6, Product: Product B, Total: 15

Depot: B5, Transaction Type: Sell, Client: A24, Product: Product B, Total: 15

Depot: B5, Transaction Type: Buy, Client: A26, Product: Product A, Total: 7

Depot: B5, Transaction Type: Buy, Client: A17, Product: Product A, Total: 13

Depot: B5, Transaction Type: Buy, Client: A12, Product: Product A, Total: 9

Depot: B5, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: B5, Transaction Type: Buy, Client: C20, Product: Product C, Total: 4

Depot: B5, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: B5, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: B5, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: B5, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: B5, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: B5, Transaction Type: Buy, Client: C18, Product: Product C, Total: 5

Depot: B5, Transaction Type: Buy, Client: A4, Product: Product A, Total: 13

Depot: B5, Transaction Type: Buy, Client: C5, Product: Product C, Total: 16

Depot: B5, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: B5, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: B5, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: B5, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: B5, Transaction Type: Buy, Client: C3, Product: Product C, Total: 5

Depot: B5, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: B5, Transaction Type: Buy, Client: C15, Product: Product C, Total: 5

Depot: B6, Transaction Type: Buy, Client: C36, Product: Product C, Total: 9

Depot: B6, Transaction Type: Buy, Client: C47, Product: Product C, Total: 11

Depot: B6, Transaction Type: Sell, Client: C37, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A23, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A22, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C19, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C11, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C6, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A7, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A4, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C12, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C16, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C11, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C7, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A9, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A18, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A19, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C14, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A6, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: C1, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A9, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A18, Product: Product B, Total: 14

Depot: B6, Transaction Type: Sell, Client: A8, Product: Product B, Total: 14

Depot: B7, Transaction Type: Buy, Client: A26, Product: Product A, Total: 7

Depot: B7, Transaction Type: Sell, Client: C14, Product: Product B, Total: 5

Depot: B7, Transaction Type: Buy, Client: A16, Product: Product A, Total: 11

Depot: B7, Transaction Type: Buy, Client: A20, Product: Product A, Total: 12

Depot: B7, Transaction Type: Buy, Client: C30, Product: Product C, Total: 18

Depot: B7, Transaction Type: Sell, Client: A21, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: A34, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: A9, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: A26, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: C16, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: C17, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: C6, Product: Product B, Total: 5

Depot: B7, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: B7, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: B7, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B7, Transaction Type: Sell, Client: C14, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: C17, Product: Product B, Total: 5

Depot: B7, Transaction Type: Sell, Client: A18, Product: Product B, Total: 5

Depot: B7, Transaction Type: Buy, Client: C1, Product: Product C, Total: 13

Depot: B7, Transaction Type: Sell, Client: C14, Product: Product B, Total: 5

Depot: B7, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: B7, Transaction Type: Buy, Client: C14, Product: Product C, Total: 16

Depot: B7, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: B7, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

Depot: B7, Transaction Type: Buy, Client: C12, Product: Product C, Total: 8

Depot: B7, Transaction Type: Buy, Client: C7, Product: Product C, Total: 8

Depot: B7, Transaction Type: Buy, Client: C11, Product: Product C, Total: 4

