CompanyC
Depot: C1, Transaction Type: Sell, Client: A38, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A7, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: B23, Product: Product B, Total: 13

Depot: C1, Transaction Type: Sell, Client: A12, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: B19, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A1, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: B12, Product: Product B, Total: 19

Depot: C1, Transaction Type: Sell, Client: B29, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A8, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A3, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: A18, Product: Product A, Total: 8

Depot: C1, Transaction Type: Buy, Client: A22, Product: Product A, Total: 12

Depot: C1, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C1, Transaction Type: Sell, Client: A6, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: A16, Product: Product A, Total: 11

Depot: C1, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: C1, Transaction Type: Sell, Client: B7, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

Depot: C1, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: C1, Transaction Type: Buy, Client: A15, Product: Product A, Total: 13

Depot: C1, Transaction Type: Buy, Client: A19, Product: Product A, Total: 16

Depot: C1, Transaction Type: Sell, Client: B7, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: B2, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: B18, Product: Product B, Total: 14

Depot: C1, Transaction Type: Buy, Client: B6, Product: Product B, Total: 14

Depot: C1, Transaction Type: Buy, Client: A8, Product: Product A, Total: 20

Depot: C1, Transaction Type: Sell, Client: B2, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: B13, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A1, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: A5, Product: Product A, Total: 4

Depot: C1, Transaction Type: Sell, Client: A21, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A20, Product: Product C, Total: 13

Depot: C1, Transaction Type: Sell, Client: A12, Product: Product C, Total: 13

Depot: C1, Transaction Type: Buy, Client: A11, Product: Product A, Total: 17

Depot: C1, Transaction Type: Buy, Client: A7, Product: Product A, Total: 15

Depot: C1, Transaction Type: Buy, Client: A1, Product: Product A, Total: 10

Depot: C2, Transaction Type: Buy, Client: A12, Product: Product A, Total: 9

Depot: C2, Transaction Type: Sell, Client: A39, Product: Product C, Total: 9

