[Depot Name: Depot A1, Native Product: Product Name: Product A, Product ID: 6293, Depot external Product:0, Depot Price: 2
, Depot Name: Depot A2, Native Product: Product Name: Product A, Product ID: 3982, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A3, Native Product: Product Name: Product A, Product ID: 3029, Depot external Product:0, Depot Price: 8
, Depot Name: Depot A4, Native Product: Product Name: Product A, Product ID: 6017, Depot external Product:0, Depot Price: 10
, Depot Name: Depot A5, Native Product: Product Name: Product A, Product ID: 4554, Depot external Product:0, Depot Price: 8
, Depot Name: Depot A6, Native Product: Product Name: Product A, Product ID: 5146, Depot external Product:0, Depot Price: 3
, Depot Name: Depot A7, Native Product: Product Name: Product A, Product ID: 9748, Depot external Product:0, Depot Price: 5
, Depot Name: Depot A8, Native Product: Product Name: Product A, Product ID: 1942, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A9, Native Product: Product Name: Product A, Product ID: 7637, Depot external Product:0, Depot Price: 9
, Depot Name: Depot A10, Native Product: Product Name: Product A, Product ID: 8038, Depot external Product:0, Depot Price: 9
, Depot Name: Depot A11, Native Product: Product Name: Product A, Product ID: 1214, Depot external Product:0, Depot Price: 3
, Depot Name: Depot A12, Native Product: Product Name: Product A, Product ID: 5197, Depot external Product:0, Depot Price: 4
, Depot Name: Depot A13, Native Product: Product Name: Product A, Product ID: 2861, Depot external Product:0, Depot Price: 5
, Depot Name: Depot A14, Native Product: Product Name: Product A, Product ID: 4255, Depot external Product:0, Depot Price: 7
, Depot Name: Depot A15, Native Product: Product Name: Product A, Product ID: 1115, Depot external Product:0, Depot Price: 3
, Depot Name: Depot A16, Native Product: Product Name: Product A, Product ID: 6879, Depot external Product:0, Depot Price: 9
, Depot Name: Depot A17, Native Product: Product Name: Product A, Product ID: 9863, Depot external Product:0, Depot Price: 6
, Depot Name: Depot A18, Native Product: Product Name: Product A, Product ID: 2297, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A19, Native Product: Product Name: Product A, Product ID: 6662, Depot external Product:0, Depot Price: 6
, Depot Name: Depot A20, Native Product: Product Name: Product A, Product ID: 4923, Depot external Product:0, Depot Price: 9
, Depot Name: Depot A21, Native Product: Product Name: Product A, Product ID: 4933, Depot external Product:0, Depot Price: 5
, Depot Name: Depot A22, Native Product: Product Name: Product A, Product ID: 2648, Depot external Product:0, Depot Price: 6
, Depot Name: Depot A23, Native Product: Product Name: Product A, Product ID: 2355, Depot external Product:0, Depot Price: 7
, Depot Name: Depot A24, Native Product: Product Name: Product A, Product ID: 4886, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A25, Native Product: Product Name: Product A, Product ID: 5662, Depot external Product:0, Depot Price: 7
, Depot Name: Depot A26, Native Product: Product Name: Product A, Product ID: 5700, Depot external Product:0, Depot Price: 4
, Depot Name: Depot A27, Native Product: Product Name: Product A, Product ID: 7831, Depot external Product:0, Depot Price: 2
, Depot Name: Depot A28, Native Product: Product Name: Product A, Product ID: 6537, Depot external Product:0, Depot Price: 10
, Depot Name: Depot A29, Native Product: Product Name: Product A, Product ID: 4010, Depot external Product:0, Depot Price: 7
, Depot Name: Depot A30, Native Product: Product Name: Product A, Product ID: 7955, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A31, Native Product: Product Name: Product A, Product ID: 6315, Depot external Product:0, Depot Price: 2
, Depot Name: Depot A32, Native Product: Product Name: Product A, Product ID: 1012, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A33, Native Product: Product Name: Product A, Product ID: 293, Depot external Product:0, Depot Price: 10
, Depot Name: Depot A34, Native Product: Product Name: Product A, Product ID: 1362, Depot external Product:0, Depot Price: 2
, Depot Name: Depot A35, Native Product: Product Name: Product A, Product ID: 6154, Depot external Product:0, Depot Price: 10
, Depot Name: Depot A36, Native Product: Product Name: Product A, Product ID: 3268, Depot external Product:0, Depot Price: 6
, Depot Name: Depot A37, Native Product: Product Name: Product A, Product ID: 4395, Depot external Product:0, Depot Price: 6
, Depot Name: Depot A38, Native Product: Product Name: Product A, Product ID: 533, Depot external Product:0, Depot Price: 4
, Depot Name: Depot A39, Native Product: Product Name: Product A, Product ID: 2769, Depot external Product:0, Depot Price: 10
, Depot Name: Depot A40, Native Product: Product Name: Product A, Product ID: 6004, Depot external Product:0, Depot Price: 3
, Depot Name: Depot A41, Native Product: Product Name: Product A, Product ID: 9191, Depot external Product:0, Depot Price: 5
, Depot Name: Depot A42, Native Product: Product Name: Product A, Product ID: 3798, Depot external Product:0, Depot Price: 2
, Depot Name: Depot A43, Native Product: Product Name: Product A, Product ID: 4368, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A44, Native Product: Product Name: Product A, Product ID: 8477, Depot external Product:0, Depot Price: 1
, Depot Name: Depot A45, Native Product: Product Name: Product A, Product ID: 501, Depot external Product:0, Depot Price: 8
, Depot Name: Depot A46, Native Product: Product Name: Product A, Product ID: 1931, Depot external Product:0, Depot Price: 8
, Depot Name: Depot A47, Native Product: Product Name: Product A, Product ID: 7592, Depot external Product:0, Depot Price: 4
, Depot Name: Depot A48, Native Product: Product Name: Product A, Product ID: 6386, Depot external Product:0, Depot Price: 4
, Depot Name: Depot A49, Native Product: Product Name: Product A, Product ID: 8554, Depot external Product:0, Depot Price: 5
, Depot Name: Depot A50, Native Product: Product Name: Product A, Product ID: 9822, Depot external Product:0, Depot Price: 6
]
